,open,high,low,close,adjclose,volume,ticker,adjclose_10,true_adjclose_10,buy_profit,sell_profit
2015-09-24,34.0,34.06999969482422,33.380001068115234,33.90999984741211,33.90999984741211,6544500,PYPL,35.789787,31.670000076293945,-2.239999771118164,0.0
2015-09-25,34.599998474121094,34.689998626708984,33.5,33.77000045776367,33.77000045776367,6566800,PYPL,36.046257,32.060001373291016,-1.7099990844726562,0.0
2015-09-30,31.200000762939453,31.280000686645508,30.639999389648438,31.040000915527344,31.040000915527344,13672000,PYPL,31.668032,34.04999923706055,3.009998321533203,0.0
2015-10-07,32.310001373291016,32.47100067138672,31.520000457763672,32.380001068115234,32.380001068115234,6969600,PYPL,34.124058,33.83000183105469,1.4500007629394531,0.0
2015-10-16,34.75,35.04999923706055,33.95000076293945,34.290000915527344,34.290000915527344,5390700,PYPL,34.98593,36.0099983215332,1.7199974060058594,0.0
2015-10-27,36.38999938964844,36.39400100708008,35.310001373291016,35.939998626708984,35.939998626708984,8502400,PYPL,36.08004,37.0,1.0600013732910156,0.0
2015-10-29,34.72999954223633,36.5,34.5,35.90999984741211,35.90999984741211,25137300,PYPL,35.490147,35.56999969482422,0.0,0.3400001525878906
2015-11-13,35.18000030517578,35.5,34.5,34.529998779296875,34.529998779296875,7364400,PYPL,39.10948,35.2599983215332,0.7299995422363281,0.0
2015-11-17,35.88999938964844,36.45000076293945,35.709999084472656,36.209999084472656,36.209999084472656,7344900,PYPL,39.615776,35.150001525878906,-1.05999755859375,0.0
2015-11-18,36.31999969482422,36.95000076293945,35.78499984741211,36.220001220703125,36.220001220703125,8323100,PYPL,39.12427,34.22999954223633,-1.9900016784667969,0.0
2015-12-11,35.150001525878906,35.32600021362305,34.41999816894531,34.689998626708984,34.689998626708984,8309200,PYPL,36.41759,36.61000061035156,1.9200019836425781,0.0
2015-12-14,34.61000061035156,35.222999572753906,34.33000183105469,35.0099983215332,35.0099983215332,5784400,PYPL,36.295788,37.08000183105468,2.0700035095214773,0.0
2015-12-17,36.0,36.58000183105469,35.5099983215332,35.540000915527344,35.540000915527344,6454100,PYPL,36.915657,34.75,-0.7900009155273438,0.0
2015-12-18,35.349998474121094,35.7599983215332,34.72999954223633,34.97999954223633,34.97999954223633,13745900,PYPL,36.36158,34.310001373291016,-0.6699981689453125,0.0
2015-12-30,37.06999969482422,37.25,36.459999084472656,36.47999954223633,36.47999954223633,4106700,PYPL,38.244698,32.869998931884766,-3.6100006103515625,0.0
2016-01-12,33.349998474121094,33.56999969482422,32.65999984741211,33.08000183105469,33.08000183105469,7854000,PYPL,34.331062,31.59000015258789,-1.4900016784667969,0.0
2016-01-29,34.4900016784668,36.2599983215332,34.36000061035156,36.13999938964844,36.13999938964844,21201100,PYPL,34.350273,34.29999923706055,0.0,1.8400001525878906
