Date,Open,High,Low,Close,Adj Close,Volume,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose
2019-01-02,20.406667709350582,21.0086669921875,19.920000076293945,20.67466735839844,20.67466735839844,174879000,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,-0.44266700744628906,0,20.02400016784668
2019-01-03,20.46666717529297,20.62666702270508,19.82533264160156,20.02400016784668,20.02400016784668,104478000,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.7793331146240199,1,21.179332733154297
2019-01-04,20.399999618530277,21.200000762939453,20.18199920654297,21.179332733154297,21.179332733154297,110911500,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.8826675415039027,1,22.33066749572754
2019-01-07,21.447999954223636,22.44933319091797,21.183332443237305,22.33066749572754,22.33066749572754,113268000,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,-0.44066619873046875,0,22.356666564941406
2019-01-08,22.797332763671875,22.93400001525879,21.801332473754883,22.356666564941406,22.356666564941406,105127500,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.20199966430664418,1,22.568666458129883
2019-01-09,22.36666679382324,22.899999618530277,22.097999572753903,22.568666458129883,22.568666458129883,81493500,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.7046661376953125,1,22.99799919128418
2019-01-10,22.293333053588867,23.025999069213867,22.119333267211918,22.99799919128418,22.99799919128418,90846000,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.3446674346923899,1,23.15066719055176
2019-01-11,22.80599975585937,23.227333068847656,22.584667205810547,23.15066719055176,23.15066719055176,75586500,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,-0.5319995880126918,0,22.293333053588867
2019-01-14,22.82533264160156,22.833332061767575,22.26666641235352,22.293333053588867,22.293333053588867,78709500,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.6286678314209055,1,22.96199989318848
2019-01-15,22.333332061767575,23.253332138061523,22.299999237060547,22.96199989318848,22.96199989318848,90849000,35.3871515484156,21.271200084686278,18.69979335784912,17.482502244313558,0.08466720581054688,1,23.06999969482422
